Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A692907,*Bock,11/28/2014 11:45:00 AM,11/28/2014 11:45:00 AM,Fm 969/Decker Lane in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Red/Black,*Bock,02/14/2015 04:50:00 PM,02/14/2015 04:50:00 PM,11/28/2012,Dog,Neutered Male,2 years,German Shepherd Mix,Red/Black,0.0
A689085,Sosa,09/29/2014 12:36:00 PM,09/29/2014 12:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,American Bulldog/Labrador Retriever,White/Blue,Sosa,10/09/2014 03:24:00 PM,10/09/2014 03:24:00 PM,03/29/2013,Dog,Neutered Male,1 year,American Bulldog/Labrador Retriever,White/Blue,0.0
A724032,Coco,04/10/2016 06:43:00 PM,04/10/2016 06:43:00 PM,Woodrun Dr And Willowrun Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tricolor,Coco,04/14/2016 01:58:00 PM,04/14/2016 01:58:00 PM,04/11/2010,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tricolor,0.0
A691425,Mimsy,11/04/2014 12:17:00 PM,11/04/2014 12:17:00 PM,4106 N.Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pointer Mix,White/Black,Mimsy,11/28/2014 01:31:00 PM,11/28/2014 01:31:00 PM,11/04/2012,Dog,Spayed Female,2 years,Pointer Mix,White/Black,0.0
A701191,Shiloh,04/25/2015 11:45:00 AM,04/25/2015 11:45:00 AM,Brents Elm & Brandts Wood in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Dachshund Mix,Black/Brown,Shiloh,04/26/2015 06:55:00 PM,04/26/2015 06:55:00 PM,02/25/2015,Dog,Neutered Male,1 month,Dachshund Mix,Black/Brown,0.0
A670948,,01/16/2014 01:54:00 PM,01/16/2014 01:54:00 PM,8529 Grandview in Jonestown (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,,01/17/2014 01:33:00 PM,01/17/2014 01:33:00 PM,08/16/2012,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,0.0
A788048,*Marnie,01/25/2019 12:14:00 PM,01/25/2019 12:14:00 PM,2517 Dovemeadow in Austin (TX),Stray,Normal,Dog,Intact Female,11 years,Chihuahua Shorthair Mix,Cream,*Marnie,04/20/2019 01:36:00 PM,04/20/2019 01:36:00 PM,01/25/2008,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Cream,0.0
A796749,,06/04/2019 07:23:00 PM,06/04/2019 07:23:00 PM,Austin (TX),Owner Surrender,Normal,Other,Unknown,1 year,Guinea Pig,Tan/White,,06/05/2019 12:00:00 AM,06/05/2019 12:00:00 AM,06/04/2018,Other,Unknown,1 year,Guinea Pig,Tan/White,0.0
A804503,Lola,09/15/2019 12:12:00 PM,09/15/2019 12:12:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,Lola,09/24/2019 06:35:00 PM,09/24/2019 06:35:00 PM,09/15/2018,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,0.0
A738010,Lili,11/08/2016 12:51:00 PM,11/08/2016 12:51:00 PM,2407 Allred Dr in Austin (TX),Stray,Normal,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby,Lili,11/18/2016 11:42:00 AM,11/18/2016 11:42:00 AM,07/08/2016,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby,0.0
A808773,Bat,11/13/2019 03:53:00 PM,11/13/2019 03:53:00 PM,701 East 5Th Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,Bat,11/14/2019 04:23:00 PM,11/14/2019 04:23:00 PM,11/13/2017,Other,Unknown,2 years,Bat,Brown,1.0
A711286,,09/05/2015 07:17:00 AM,09/05/2015 07:17:00 AM,7201 Levander Loop in Austin (TX),Stray,Feral,Cat,Unknown,6 months,Russian Blue Mix,Blue,,09/06/2015 09:00:00 AM,09/06/2015 09:00:00 AM,03/05/2015,Cat,Unknown,6 months,Russian Blue Mix,Blue,0.0
A690093,Rowdy,11/04/2016 09:02:00 AM,11/04/2016 09:02:00 AM,1203 Perez St in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Rhod Ridgeback Mix,Tan/White,Rowdy,11/14/2016 11:39:00 AM,11/14/2016 11:39:00 AM,10/14/2013,Dog,Spayed Female,3 years,Rhod Ridgeback Mix,Tan/White,0.0
A806612,,10/13/2019 12:49:00 PM,10/13/2019 12:49:00 PM,2750 Citation Drive in Travis (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,,10/13/2019 05:10:00 PM,10/13/2019 05:10:00 PM,09/28/2019,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A464168,Mollie,09/22/2018 10:29:00 PM,09/22/2018 10:29:00 PM,2616 W Braker Ln in Austin (TX),Public Assist,Normal,Dog,Spayed Female,11 years,Pit Bull Mix,White/Gray,Mollie,09/25/2018 06:20:00 PM,09/25/2018 06:20:00 PM,12/14/2006,Dog,Spayed Female,11 years,Pit Bull Mix,White/Gray,0.0
A765436,Flip,01/20/2018 12:28:00 PM,01/20/2018 12:28:00 PM,Austin (TX),Owner Surrender,Normal,Bird,Intact Male,6 months,Chicken Mix,Tan/Red,Flip,01/24/2018 02:32:00 PM,01/24/2018 02:32:00 PM,07/20/2017,Bird,Intact Male,6 months,Chicken Mix,Tan/Red,0.0
A719128,*Lulu,02/07/2016 11:27:00 AM,02/07/2016 11:27:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Norwich Terrier Mix,Tan/White,*Lulu,02/08/2016 07:11:00 PM,02/08/2016 07:11:00 PM,01/13/2014,Dog,Spayed Female,2 years,Norwich Terrier Mix,Tan/White,0.0
A732725,*Ophelia,08/12/2016 04:24:00 PM,08/12/2016 04:24:00 PM,7619 Scenic Brook in Austin (TX),Public Assist,Sick,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,*Ophelia,09/27/2016 02:54:00 PM,09/27/2016 02:54:00 PM,08/12/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,0.0
A811525,Riley,01/05/2020 11:11:00 AM,01/05/2020 11:11:00 AM,6507 Circle S Road in Austin (TX),Public Assist,Normal,Dog,Intact Male,4 years,Labrador Retriever Mix,Brown/White,Riley,01/30/2020 11:45:00 AM,01/30/2020 11:45:00 AM,07/30/2015,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown/White,0.0
A697076,*Kewpie,02/17/2015 03:19:00 PM,02/17/2015 03:19:00 PM,915 Connecticut in Austin (TX),Stray,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White,*Kewpie,01/23/2016 04:13:00 PM,01/23/2016 04:13:00 PM,09/02/2008,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,0.0
A720165,Rudy,02/03/2016 04:37:00 PM,02/03/2016 04:37:00 PM,8200 Flaxen Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Labrador Retriever Mix,White,Rudy,02/14/2016 11:19:00 AM,02/14/2016 11:19:00 AM,02/03/2013,Dog,Neutered Male,3 years,Labrador Retriever Mix,White,0.0
A688793,,09/24/2014 07:32:00 AM,09/24/2014 07:32:00 AM,Burnet And Rutland in Austin (TX),Stray,Nursing,Cat,Unknown,3 days,Domestic Medium Hair Mix,Black,,09/24/2014 12:46:00 PM,09/24/2014 12:46:00 PM,09/21/2014,Cat,Unknown,3 days,Domestic Medium Hair Mix,Black,0.0
A775968,,07/06/2018 06:15:00 PM,07/06/2018 06:15:00 PM,4623 Quicksilver in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Siberian Husky Mix,White/Red,,07/12/2018 04:59:00 PM,07/12/2018 04:59:00 PM,11/06/2017,Dog,Spayed Female,8 months,Siberian Husky Mix,White/Red,0.0
A793196,,04/20/2019 10:25:00 PM,04/20/2019 10:25:00 PM,8125 Magnolia Ridge Cove in Travis (TX),Public Assist,Normal,Other,Unknown,1 year,Bat Mix,Brown,,04/21/2019 11:47:00 AM,04/21/2019 11:47:00 AM,04/20/2018,Other,Unknown,1 year,Bat Mix,Brown,1.0
A695307,*Sammy,01/13/2015 02:14:00 PM,01/13/2015 02:14:00 PM,8225 Sam Rayburn Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Cream,*Sammy,01/19/2015 05:16:00 PM,01/19/2015 05:16:00 PM,01/13/2014,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Cream,0.0
A796824,,06/05/2019 04:21:00 PM,06/05/2019 04:21:00 PM,1819 Dexter Drive in Austin (TX),Wildlife,Nursing,Other,Unknown,4 weeks,Opossum,Gray/Gray,,06/06/2019 11:51:00 AM,06/06/2019 11:51:00 AM,05/05/2019,Other,Unknown,4 weeks,Opossum,Gray/Gray,0.0
A732994,*Sidney,10/17/2017 11:15:00 AM,10/17/2017 11:15:00 AM,1005 East Riverside Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,*Sidney,10/19/2017 01:04:00 PM,10/19/2017 01:04:00 PM,05/03/2015,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue,0.0
A802379,,08/17/2019 10:58:00 AM,08/17/2019 10:58:00 AM,5220 Hudson Bend Road in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair,Black/White,,08/21/2019 01:02:00 PM,08/21/2019 01:02:00 PM,08/17/2011,Dog,Neutered Male,8 years,Chihuahua Shorthair,Black/White,0.0
A803525,,09/02/2019 02:12:00 PM,09/02/2019 02:12:00 PM,4405 Highway 71 in Travis (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby,,09/06/2019 10:55:00 AM,09/06/2019 10:55:00 AM,09/02/2018,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby,0.0
A757691,204,09/05/2017 12:21:00 PM,09/05/2017 12:21:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Male,11 months,Cardigan Welsh Corgi Mix,Brown/White,204,10/05/2017 12:45:00 PM,10/05/2017 12:45:00 PM,09/11/2016,Dog,Intact Male,1 year,Cardigan Welsh Corgi Mix,Brown/White,0.0
A735900,Cowardlylion,10/01/2016 11:11:00 AM,10/01/2016 11:11:00 AM,7207 Barnsdale Way in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,Cowardlylion,10/08/2016 03:59:00 PM,10/08/2016 03:59:00 PM,08/05/2016,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,0.0
A767969,*Andy,03/10/2018 12:24:00 PM,03/10/2018 12:24:00 PM,8600 Brookfield Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/Brown,*Andy,04/17/2018 04:56:00 PM,04/17/2018 04:56:00 PM,03/10/2017,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Brown,0.0
A707832,Aloha,08/12/2015 05:36:00 PM,08/12/2015 05:36:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 months,Siamese/Japanese Bobtail,Seal Point,Aloha,08/16/2015 06:13:00 PM,08/16/2015 06:13:00 PM,03/18/2015,Cat,Spayed Female,4 months,Siamese/Japanese Bobtail,Seal Point,0.0
A704211,Sage,10/12/2015 03:13:00 PM,10/12/2015 03:13:00 PM,Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,German Shepherd/Labrador Retriever,Buff,Sage,10/19/2015 04:48:00 PM,10/19/2015 04:48:00 PM,06/02/2012,Dog,Spayed Female,3 years,German Shepherd/Labrador Retriever,Buff,0.0
A727574,Rolo,05/23/2016 12:40:00 PM,05/23/2016 12:40:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Pit Bull/Labrador Retriever,Black/White,Rolo,06/08/2016 12:00:00 AM,06/08/2016 12:00:00 AM,05/23/2012,Dog,Neutered Male,4 years,Pit Bull/Labrador Retriever,Black/White,0.0
A695656,Frankie,01/20/2015 10:12:00 AM,01/20/2015 10:12:00 AM,4700 E Riverside in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 month,Pit Bull Mix,White,Frankie,01/29/2015 04:59:00 PM,01/29/2015 04:59:00 PM,12/07/2014,Dog,Intact Male,1 month,Pit Bull Mix,White,0.0
A795514,*Cody,05/21/2019 02:09:00 PM,05/21/2019 02:09:00 PM,Forest Mesa Drive And Ceberry in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Cairn Terrier,Cream/Tan,*Cody,05/26/2019 12:00:00 AM,05/26/2019 12:00:00 AM,05/21/2017,Dog,Intact Female,2 years,Cairn Terrier,Cream/Tan,0.0
A734674,,09/10/2016 09:18:00 PM,09/10/2016 09:18:00 PM,1100 San Jacinto Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,09/11/2016 09:20:00 AM,09/11/2016 09:20:00 AM,09/10/2015,Other,Unknown,1 year,Bat Mix,Brown,1.0
A731491,Tiger,08/03/2016 09:06:00 AM,08/03/2016 09:06:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle,Tiger,08/11/2016 08:51:00 AM,08/11/2016 08:51:00 AM,07/23/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle,0.0
A762980,,11/30/2017 06:49:00 PM,11/30/2017 06:49:00 PM,8213 Sam Rayburn in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,,12/31/2017 05:20:00 PM,12/31/2017 05:20:00 PM,11/07/2017,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black,0.0
A772596,,05/21/2018 02:24:00 PM,05/21/2018 02:24:00 PM,4004 Avenue A in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,,05/25/2018 03:09:00 PM,05/25/2018 03:09:00 PM,05/21/2017,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,0.0
A760051,,10/11/2017 04:29:00 PM,10/11/2017 04:29:00 PM,South Pleasant Valley And Riverside Drive in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Quaker,Green/Gray,,10/20/2017 12:40:00 PM,10/20/2017 12:40:00 PM,10/11/2016,Bird,Unknown,1 year,Quaker,Green/Gray,0.0
A752804,,06/27/2017 04:15:00 PM,06/27/2017 04:15:00 PM,4106 N Lamar in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Gray Tabby/White,,06/27/2017 06:47:00 PM,06/27/2017 06:47:00 PM,05/27/2017,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Gray Tabby/White,0.0
A776340,*Ginger,07/12/2018 06:59:00 AM,07/12/2018 06:59:00 AM,6102 Manor Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Blue Tabby/White,*Ginger,10/11/2018 02:12:00 PM,10/11/2018 02:12:00 PM,06/12/2018,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Blue Tabby/White,0.0
A796766,Aisha,06/05/2019 10:50:00 AM,06/05/2019 10:50:00 AM,Bullace St in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Siberian Husky Mix,Black/White,Aisha,06/11/2019 05:26:00 PM,06/11/2019 05:26:00 PM,06/05/2018,Dog,Spayed Female,1 year,Siberian Husky Mix,Black/White,0.0
A671172,*Tristan,01/20/2014 12:16:00 PM,01/20/2014 12:16:00 PM,2705 Hoake Ln in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,*Tristan,03/19/2014 11:14:00 AM,03/19/2014 11:14:00 AM,12/27/2013,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,0.0
A743237,Cooter,02/06/2017 02:37:00 PM,02/06/2017 02:37:00 PM,W Parmer Lane And Metric Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Pekingese Mix,Tan/White,Cooter,02/10/2017 12:01:00 PM,02/10/2017 12:01:00 PM,02/06/2012,Dog,Intact Male,5 years,Pekingese Mix,Tan/White,0.0
A703053,,05/20/2015 09:54:00 AM,05/20/2015 09:54:00 AM,2516 Elara Dr in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Cairn Terrier Mix,Tan/White,,05/24/2015 07:09:00 PM,05/24/2015 07:09:00 PM,05/20/2014,Dog,Neutered Male,1 year,Cairn Terrier Mix,Tan/White,0.0
A670002,Chiquita,12/31/2013 04:21:00 PM,12/31/2013 04:21:00 PM,Tracy Lynn Ln And East Leslie Circle in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Miniature Poodle/Yorkshire Terrier,White/Silver,Chiquita,01/04/2014 05:24:00 PM,01/04/2014 05:24:00 PM,12/31/2010,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,White/Silver,0.0
A811027,,12/26/2019 04:09:00 PM,12/26/2019 04:09:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black/Tan,,12/31/2019 01:29:00 PM,12/31/2019 01:29:00 PM,12/30/2015,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Black/Tan,0.0
A718176,,12/23/2015 12:11:00 PM,12/23/2015 12:11:00 PM,1515 Wickersham Ln in Austin (TX),Stray,Sick,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black,,12/23/2015 01:22:00 PM,12/23/2015 01:22:00 PM,12/23/2009,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black,0.0
A806697,,10/14/2019 02:56:00 PM,10/14/2019 02:56:00 PM,4404 E Oltorf St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,White/Tan,,10/18/2019 05:54:00 PM,10/18/2019 05:54:00 PM,08/14/2019,Cat,Spayed Female,2 months,Siamese Mix,White/Tan,0.0
A690073,,10/13/2014 06:07:00 PM,10/13/2014 06:07:00 PM,1401 E Rundburg in Austin (TX),Stray,Normal,Cat,Intact Male,7 months,Domestic Medium Hair,Brown Tabby,,10/14/2014 09:00:00 AM,10/14/2014 09:00:00 AM,02/13/2014,Cat,Intact Male,7 months,Domestic Medium Hair,Brown Tabby,0.0
A666001,Hershey,10/25/2013 06:32:00 PM,10/25/2013 06:32:00 PM,2121 Dickson Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Australian Shepherd Mix,Black/Tan,Hershey,10/31/2013 06:02:00 PM,10/31/2013 06:02:00 PM,10/25/2008,Dog,Spayed Female,5 years,Australian Shepherd Mix,Black/Tan,0.0
A568668,Rosie,12/14/2019 04:21:00 PM,12/14/2019 04:21:00 PM,Stuart Circle And Jain Lane in Austin (TX),Stray,Aged,Dog,Spayed Female,14 years,Chihuahua Shorthair,Brown,Rosie,12/15/2019 12:32:00 PM,12/15/2019 12:32:00 PM,03/16/2005,Dog,Spayed Female,14 years,Chihuahua Shorthair,Brown,0.0
A714460,,10/23/2015 10:11:00 AM,10/23/2015 10:11:00 AM,12900 N Ih35 in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Gray Tabby,,10/28/2015 01:15:00 PM,10/28/2015 01:15:00 PM,07/23/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Gray Tabby,0.0
A739413,,12/02/2016 01:09:00 PM,12/02/2016 01:09:00 PM,12609 Dessau Rd in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Seal Point/Gray,,12/12/2016 04:05:00 PM,12/12/2016 04:05:00 PM,12/02/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Seal Point/Gray,0.0
A781833,Bella,10/06/2018 01:16:00 PM,10/06/2018 01:16:00 PM,8601 Research Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever,Tan,Bella,10/10/2018 05:16:00 PM,10/10/2018 05:16:00 PM,08/01/2018,Dog,Spayed Female,2 months,Labrador Retriever,Tan,0.0
A712523,,09/24/2015 03:25:00 PM,09/24/2015 03:25:00 PM,920 Water St in Travis (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,,09/24/2015 06:24:00 PM,09/24/2015 06:24:00 PM,09/02/2015,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black,0.0
A776489,Beans,07/14/2018 01:03:00 PM,07/14/2018 01:03:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Catahoula Mix,Black Brindle/White,Beans,07/18/2018 04:31:00 PM,07/18/2018 04:31:00 PM,05/01/2018,Dog,Neutered Male,2 months,Catahoula Mix,Black Brindle/White,0.0
A764846,,01/07/2018 02:13:00 PM,01/07/2018 02:13:00 PM,6Th Street And Ih35 in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Catahoula Mix,Blue/White,,01/29/2018 01:38:00 PM,01/29/2018 01:38:00 PM,03/07/2017,Dog,Spayed Female,10 months,Catahoula Mix,Blue/White,1.0
A730545,Ty,07/06/2016 12:45:00 PM,07/06/2016 12:45:00 PM,8501 Cameron Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Ty,10/23/2016 05:04:00 PM,10/23/2016 05:04:00 PM,07/06/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0.0
A797141,Arthur,06/10/2019 07:29:00 AM,06/10/2019 07:29:00 AM,Riverside Dr And Crossing Place in Austin (TX),Stray,Injured,Cat,Intact Male,2 months,Domestic Shorthair,Blue,Arthur,06/15/2019 06:33:00 PM,06/15/2019 06:33:00 PM,04/03/2019,Cat,Intact Male,2 months,Domestic Shorthair,Blue,0.0
A730816,*Chartreuse,07/11/2016 09:17:00 AM,07/11/2016 09:17:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,*Chartreuse,07/23/2016 04:20:00 PM,07/23/2016 04:20:00 PM,03/27/2016,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A799062,Damien,07/03/2019 07:05:00 PM,07/03/2019 07:05:00 PM,Webberville And Rosewood in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Miniature Pinscher,Black/Tan,Damien,07/08/2019 11:58:00 AM,07/08/2019 11:58:00 AM,07/03/2018,Dog,Neutered Male,1 year,Miniature Pinscher,Black/Tan,0.0
A764822,,01/06/2018 05:34:00 PM,01/06/2018 05:34:00 PM,Pearce Lane And Ross Road in Del Valle (TX),Stray,Normal,Livestock,Intact Female,2 years,Potbelly Pig Mix,White,,02/12/2018 04:51:00 PM,02/12/2018 04:51:00 PM,01/06/2016,Livestock,Intact Female,2 years,Potbelly Pig Mix,White,0.0
A673522,,02/13/2014 11:07:00 AM,02/13/2014 11:07:00 AM,Austin (TX),Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black,,02/27/2014 11:19:00 AM,02/27/2014 11:19:00 AM,02/24/2014,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black,0.0
A784556,,11/16/2018 02:10:00 PM,11/16/2018 02:10:00 PM,7712 Black Mountain in Austin (TX),Stray,Sick,Other,Unknown,6 months,Chinchilla Mix,Gray,,11/16/2018 02:40:00 PM,11/16/2018 02:40:00 PM,05/16/2018,Other,Unknown,6 months,Chinchilla Mix,Gray,0.0
A811171,,12/29/2019 01:19:00 PM,12/29/2019 01:19:00 PM,1010 Turtle Creek Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Chihuahua Shorthair,Tan,,01/03/2020 04:58:00 PM,01/03/2020 04:58:00 PM,08/29/2019,Dog,Neutered Male,4 months,Chihuahua Shorthair,Tan,0.0
A727384,,05/21/2016 03:32:00 PM,05/21/2016 03:32:00 PM,Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,,05/31/2016 12:15:00 PM,05/31/2016 12:15:00 PM,05/01/2016,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black,1.0
A769626,Elsie,04/07/2018 02:06:00 PM,04/07/2018 02:06:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12 years,Cocker Spaniel Mix,Tan,Elsie,04/08/2018 12:26:00 PM,04/08/2018 12:26:00 PM,04/07/2006,Dog,Spayed Female,12 years,Cocker Spaniel Mix,Tan,0.0
A794697,*Nermal,05/11/2019 11:04:00 AM,05/11/2019 11:04:00 AM,1602 E 2Nd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,*Nermal,07/27/2019 06:02:00 PM,07/27/2019 06:02:00 PM,03/26/2019,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby,0.0
A737173,*Annabelle,10/23/2016 11:56:00 AM,10/23/2016 11:56:00 AM,6229 Turnersville Rd in Creedmoor (TX),Stray,Injured,Dog,Intact Female,10 years,Australian Shepherd Mix,Black/Brown,*Annabelle,10/27/2016 04:41:00 PM,10/27/2016 04:41:00 PM,10/23/2006,Dog,Intact Female,10 years,Australian Shepherd Mix,Black/Brown,0.0
A777720,*Meryl,08/02/2018 10:23:00 AM,08/02/2018 10:23:00 AM,15900 Decker Lake Road in Manor (TX),Stray,Normal,Dog,Intact Female,6 months,Pit Bull Mix,Brown Brindle/White,*Meryl,08/14/2018 01:12:00 PM,08/14/2018 01:12:00 PM,01/02/2018,Dog,Intact Female,7 months,Pit Bull Mix,Brown Brindle/White,0.0
A680624,Axle,06/04/2014 05:47:00 PM,06/04/2014 05:47:00 PM,Fm 620 And Anderson Mill in Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,American Eskimo Mix,White/Red,Axle,07/28/2014 01:56:00 PM,07/28/2014 01:56:00 PM,07/06/2002,Dog,Neutered Male,12 years,American Eskimo Mix,White/Red,0.0
A753297,,07/04/2017 01:31:00 PM,07/04/2017 01:31:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Lynx Point,,07/09/2017 01:46:00 PM,07/09/2017 01:46:00 PM,05/04/2017,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point,0.0
A809697,Luna,11/29/2019 04:06:00 PM,11/29/2019 04:06:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,German Shepherd,Brown,Luna,01/05/2020 05:48:00 PM,01/05/2020 05:48:00 PM,11/29/2016,Dog,Spayed Female,3 years,German Shepherd,Brown,0.0
A719181,Paloma,01/14/2016 05:06:00 PM,01/14/2016 05:06:00 PM,Alpine And Jacobson Rd in Travis (TX),Stray,Normal,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White,Paloma,03/17/2016 12:11:00 PM,03/17/2016 12:11:00 PM,01/14/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White,0.0
A763964,,12/19/2017 10:18:00 AM,12/19/2017 10:18:00 AM,7510 Compass Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Yorkshire Terrier Mix,Tan,,12/23/2017 12:05:00 PM,12/23/2017 12:05:00 PM,10/27/2017,Dog,Intact Female,1 month,Yorkshire Terrier Mix,Tan,0.0
